# ta-tb(ns)	counts	error
-3828683.937500	1	1.000000
-3828683.812500	0	0.000000
-3828683.687500	0	0.000000
-3828683.562500	0	0.000000
-3828683.437500	0	0.000000
-3828683.312500	0	0.000000
-3828683.187500	0	0.000000
-3828683.062500	0	0.000000
-3828682.937500	0	0.000000
-3828682.812500	0	0.000000
-3828682.687500	0	0.000000
-3828682.562500	0	0.000000
-3828682.437500	0	0.000000
-3828682.312500	0	0.000000
-3828682.187500	0	0.000000
-3828682.062500	0	0.000000
-3828681.937500	1	1.000000
-3828681.812500	0	0.000000
-3828681.687500	0	0.000000
-3828681.562500	0	0.000000
-3828681.437500	0	0.000000
-3828681.312500	1	1.000000
-3828681.187500	0	0.000000
-3828681.062500	0	0.000000
-3828680.937500	0	0.000000
-3828680.812500	0	0.000000
-3828680.687500	0	0.000000
-3828680.562500	1	1.000000
-3828680.437500	0	0.000000
-3828680.312500	0	0.000000
-3828680.187500	2	1.414214
-3828680.062500	0	0.000000
-3828679.937500	1	1.000000
-3828679.812500	0	0.000000
-3828679.687500	1	1.000000
-3828679.562500	0	0.000000
-3828679.437500	0	0.000000
-3828679.312500	1	1.000000
-3828679.187500	0	0.000000
-3828679.062500	0	0.000000
-3828678.937500	0	0.000000
-3828678.812500	0	0.000000
-3828678.687500	0	0.000000
-3828678.562500	1	1.000000
-3828678.437500	0	0.000000
-3828678.312500	0	0.000000
-3828678.187500	0	0.000000
-3828678.062500	0	0.000000
-3828677.937500	0	0.000000
-3828677.812500	1	1.000000
-3828677.687500	1	1.000000
-3828677.562500	0	0.000000
-3828677.437500	0	0.000000
-3828677.312500	0	0.000000
-3828677.187500	0	0.000000
-3828677.062500	0	0.000000
-3828676.937500	1	1.000000
-3828676.812500	0	0.000000
-3828676.687500	0	0.000000
-3828676.562500	0	0.000000
-3828676.437500	0	0.000000
-3828676.312500	0	0.000000
-3828676.187500	0	0.000000
-3828676.062500	0	0.000000
-3828675.937500	1	1.000000
-3828675.812500	0	0.000000
-3828675.687500	0	0.000000
-3828675.562500	0	0.000000
-3828675.437500	0	0.000000
-3828675.312500	0	0.000000
-3828675.187500	0	0.000000
-3828675.062500	0	0.000000
-3828674.937500	0	0.000000
-3828674.812500	0	0.000000
-3828674.687500	0	0.000000
-3828674.562500	0	0.000000
-3828674.437500	0	0.000000
-3828674.312500	0	0.000000
-3828674.187500	0	0.000000
-3828674.062500	0	0.000000
-3828673.937500	0	0.000000
-3828673.812500	0	0.000000
-3828673.687500	0	0.000000
-3828673.562500	0	0.000000
-3828673.437500	0	0.000000
-3828673.312500	0	0.000000
-3828673.187500	0	0.000000
-3828673.062500	0	0.000000
-3828672.937500	1	1.000000
-3828672.812500	0	0.000000
-3828672.687500	0	0.000000
-3828672.562500	0	0.000000
-3828672.437500	1	1.000000
-3828672.312500	0	0.000000
-3828672.187500	0	0.000000
-3828672.062500	0	0.000000
-3828671.937500	0	0.000000
-3828671.812500	1	1.000000
-3828671.687500	0	0.000000
-3828671.562500	0	0.000000
-3828671.437500	0	0.000000
-3828671.312500	0	0.000000
-3828671.187500	0	0.000000
-3828671.062500	1	1.000000
-3828670.937500	0	0.000000
-3828670.812500	1	1.000000
-3828670.687500	2	1.414214
-3828670.562500	0	0.000000
-3828670.437500	1	1.000000
-3828670.312500	0	0.000000
-3828670.187500	0	0.000000
-3828670.062500	1	1.000000
-3828669.937500	1	1.000000
-3828669.812500	0	0.000000
-3828669.687500	0	0.000000
-3828669.562500	0	0.000000
-3828669.437500	0	0.000000
-3828669.312500	1	1.000000
-3828669.187500	0	0.000000
-3828669.062500	0	0.000000
-3828668.937500	1	1.000000
-3828668.812500	0	0.000000
-3828668.687500	1	1.000000
-3828668.562500	0	0.000000
-3828668.437500	0	0.000000
-3828668.312500	0	0.000000
-3828668.187500	0	0.000000
-3828668.062500	0	0.000000
-3828667.937500	3	1.732051
-3828667.812500	0	0.000000
-3828667.687500	1	1.000000
-3828667.562500	0	0.000000
-3828667.437500	1	1.000000
-3828667.312500	1	1.000000
-3828667.187500	0	0.000000
-3828667.062500	1	1.000000
-3828666.937500	0	0.000000
-3828666.812500	0	0.000000
-3828666.687500	0	0.000000
-3828666.562500	0	0.000000
-3828666.437500	0	0.000000
-3828666.312500	0	0.000000
-3828666.187500	0	0.000000
-3828666.062500	0	0.000000
-3828665.937500	0	0.000000
-3828665.812500	0	0.000000
-3828665.687500	0	0.000000
-3828665.562500	0	0.000000
-3828665.437500	0	0.000000
-3828665.312500	0	0.000000
-3828665.187500	0	0.000000
-3828665.062500	0	0.000000
-3828664.937500	0	0.000000
-3828664.812500	0	0.000000
-3828664.687500	0	0.000000
-3828664.562500	0	0.000000
-3828664.437500	2	1.414214
-3828664.312500	0	0.000000
-3828664.187500	0	0.000000
-3828664.062500	1	1.000000
-3828663.937500	1	1.000000
-3828663.812500	0	0.000000
-3828663.687500	0	0.000000
-3828663.562500	0	0.000000
-3828663.437500	1	1.000000
-3828663.312500	0	0.000000
-3828663.187500	0	0.000000
-3828663.062500	0	0.000000
-3828662.937500	0	0.000000
-3828662.812500	1	1.000000
-3828662.687500	0	0.000000
-3828662.562500	0	0.000000
-3828662.437500	0	0.000000
-3828662.312500	0	0.000000
-3828662.187500	0	0.000000
-3828662.062500	0	0.000000
-3828661.937500	1	1.000000
-3828661.812500	1	1.000000
-3828661.687500	0	0.000000
-3828661.562500	0	0.000000
-3828661.437500	2	1.414214
-3828661.312500	0	0.000000
-3828661.187500	2	1.414214
-3828661.062500	0	0.000000
-3828660.937500	0	0.000000
-3828660.812500	0	0.000000
-3828660.687500	1	1.000000
-3828660.562500	0	0.000000
-3828660.437500	0	0.000000
-3828660.312500	0	0.000000
-3828660.187500	0	0.000000
-3828660.062500	0	0.000000
-3828659.937500	1	1.000000
-3828659.812500	0	0.000000
-3828659.687500	1	1.000000
-3828659.562500	0	0.000000
-3828659.437500	0	0.000000
-3828659.312500	0	0.000000
-3828659.187500	0	0.000000
-3828659.062500	1	1.000000
-3828658.937500	0	0.000000
-3828658.812500	0	0.000000
-3828658.687500	2	1.414214
-3828658.562500	0	0.000000
-3828658.437500	1	1.000000
-3828658.312500	0	0.000000
-3828658.187500	0	0.000000
-3828658.062500	0	0.000000
-3828657.937500	0	0.000000
-3828657.812500	0	0.000000
-3828657.687500	0	0.000000
-3828657.562500	0	0.000000
-3828657.437500	0	0.000000
-3828657.312500	0	0.000000
-3828657.187500	0	0.000000
-3828657.062500	0	0.000000
-3828656.937500	0	0.000000
-3828656.812500	0	0.000000
-3828656.687500	0	0.000000
-3828656.562500	1	1.000000
-3828656.437500	1	1.000000
-3828656.312500	0	0.000000
-3828656.187500	1	1.000000
-3828656.062500	0	0.000000
-3828655.937500	0	0.000000
-3828655.812500	0	0.000000
-3828655.687500	0	0.000000
-3828655.562500	1	1.000000
-3828655.437500	1	1.000000
-3828655.312500	1	1.000000
-3828655.187500	0	0.000000
-3828655.062500	0	0.000000
-3828654.937500	0	0.000000
-3828654.812500	0	0.000000
-3828654.687500	0	0.000000
-3828654.562500	0	0.000000
-3828654.437500	0	0.000000
-3828654.312500	0	0.000000
-3828654.187500	0	0.000000
-3828654.062500	0	0.000000
-3828653.937500	1	1.000000
-3828653.812500	0	0.000000
-3828653.687500	0	0.000000
-3828653.562500	0	0.000000
-3828653.437500	0	0.000000
-3828653.312500	0	0.000000
-3828653.187500	1	1.000000
-3828653.062500	0	0.000000
-3828652.937500	0	0.000000
-3828652.812500	1	1.000000
-3828652.687500	0	0.000000
-3828652.562500	0	0.000000
-3828652.437500	0	0.000000
-3828652.312500	0	0.000000
-3828652.187500	0	0.000000
-3828652.062500	0	0.000000
-3828651.937500	0	0.000000
-3828651.812500	0	0.000000
-3828651.687500	0	0.000000
-3828651.562500	0	0.000000
-3828651.437500	0	0.000000
-3828651.312500	0	0.000000
-3828651.187500	0	0.000000
-3828651.062500	0	0.000000
-3828650.937500	1	1.000000
-3828650.812500	0	0.000000
-3828650.687500	0	0.000000
-3828650.562500	1	1.000000
-3828650.437500	1	1.000000
-3828650.312500	0	0.000000
-3828650.187500	0	0.000000
-3828650.062500	0	0.000000
-3828649.937500	0	0.000000
-3828649.812500	0	0.000000
-3828649.687500	0	0.000000
-3828649.562500	0	0.000000
-3828649.437500	0	0.000000
-3828649.312500	0	0.000000
-3828649.187500	0	0.000000
-3828649.062500	0	0.000000
-3828648.937500	0	0.000000
-3828648.812500	1	1.000000
-3828648.687500	0	0.000000
-3828648.562500	0	0.000000
-3828648.437500	0	0.000000
-3828648.312500	0	0.000000
-3828648.187500	0	0.000000
-3828648.062500	0	0.000000
-3828647.937500	0	0.000000
-3828647.812500	1	1.000000
-3828647.687500	0	0.000000
-3828647.562500	0	0.000000
-3828647.437500	0	0.000000
-3828647.312500	0	0.000000
-3828647.187500	0	0.000000
-3828647.062500	0	0.000000
-3828646.937500	0	0.000000
-3828646.812500	0	0.000000
-3828646.687500	1	1.000000
-3828646.562500	0	0.000000
-3828646.437500	0	0.000000
-3828646.312500	0	0.000000
-3828646.187500	0	0.000000
-3828646.062500	0	0.000000
-3828645.937500	1	1.000000
-3828645.812500	0	0.000000
-3828645.687500	0	0.000000
-3828645.562500	0	0.000000
-3828645.437500	1	1.000000
-3828645.312500	0	0.000000
-3828645.187500	0	0.000000
-3828645.062500	0	0.000000
-3828644.937500	0	0.000000
-3828644.812500	0	0.000000
-3828644.687500	0	0.000000
-3828644.562500	0	0.000000
-3828644.437500	0	0.000000
-3828644.312500	0	0.000000
-3828644.187500	0	0.000000
-3828644.062500	0	0.000000
-3828643.937500	0	0.000000
-3828643.812500	0	0.000000
-3828643.687500	0	0.000000
-3828643.562500	0	0.000000
-3828643.437500	0	0.000000
-3828643.312500	0	0.000000
-3828643.187500	0	0.000000
-3828643.062500	0	0.000000
-3828642.937500	1	1.000000
-3828642.812500	0	0.000000
-3828642.687500	0	0.000000
-3828642.562500	0	0.000000
-3828642.437500	0	0.000000
-3828642.312500	1	1.000000
-3828642.187500	0	0.000000
-3828642.062500	0	0.000000
-3828641.937500	0	0.000000
-3828641.812500	0	0.000000
-3828641.687500	0	0.000000
-3828641.562500	0	0.000000
-3828641.437500	0	0.000000
-3828641.312500	0	0.000000
-3828641.187500	0	0.000000
-3828641.062500	1	1.000000
-3828640.937500	0	0.000000
-3828640.812500	0	0.000000
-3828640.687500	0	0.000000
-3828640.562500	1	1.000000
-3828640.437500	0	0.000000
-3828640.312500	0	0.000000
-3828640.187500	1	1.000000
-3828640.062500	0	0.000000
-3828639.937500	1	1.000000
-3828639.812500	0	0.000000
-3828639.687500	0	0.000000
-3828639.562500	0	0.000000
-3828639.437500	0	0.000000
-3828639.312500	0	0.000000
-3828639.187500	0	0.000000
-3828639.062500	0	0.000000
-3828638.937500	0	0.000000
-3828638.812500	0	0.000000
-3828638.687500	0	0.000000
-3828638.562500	0	0.000000
-3828638.437500	0	0.000000
-3828638.312500	0	0.000000
-3828638.187500	1	1.000000
-3828638.062500	0	0.000000
-3828637.937500	0	0.000000
-3828637.812500	0	0.000000
-3828637.687500	0	0.000000
-3828637.562500	0	0.000000
-3828637.437500	0	0.000000
-3828637.312500	0	0.000000
-3828637.187500	0	0.000000
-3828637.062500	1	1.000000
-3828636.937500	0	0.000000
-3828636.812500	1	1.000000
-3828636.687500	0	0.000000
-3828636.562500	0	0.000000
-3828636.437500	0	0.000000
-3828636.312500	0	0.000000
-3828636.187500	1	1.000000
-3828636.062500	0	0.000000
-3828635.937500	0	0.000000
-3828635.812500	0	0.000000
-3828635.687500	0	0.000000
-3828635.562500	0	0.000000
-3828635.437500	0	0.000000
-3828635.312500	0	0.000000
